TIG_MyParcelBE::Enabled,Activé
TIG_MyParcelBE::Title,Titre
TIG_MyParcelBE::Method Name,Nom du mode
TIG_MyParcelBE::Rate Type,Type de tarification
TIG_MyParcelBE::Type,Type
TIG_MyParcelBE::Price,Prix
TIG_MyParcelBE::bpost location active,point bpost actif
TIG_MyParcelBE::bpost location fee,frais de traitement point bpost
TIG_MyParcelBE::Condition,Condition
TIG_MyParcelBE::Calculate Handling Fee,Mode de calcul des frais d'envoi
TIG_MyParcelBE::Handling Fee,Frais de traitement
TIG_MyParcelBE::Ship to Applicable Countries,Expédition vers les pays applicables
TIG_MyParcelBE::Ship to Specific Countries,Expédition vers des pays spécifiques
TIG_MyParcelBE::Sort Order,Trier les commandes
TIG_MyParcelBE::Default Shipment Settings,Paramètres d'expédition standards
TIG_MyParcelBE::Signature on receipt,Signature pour réception
TIG_MyParcelBE::Insured up to &euro; 500,Assuré jusqu'à &euro; 500
TIG_MyParcelBE::Automatically next status,Statut suivant automatisé
TIG_MyParcelBE::Turn the order automatically to the next status after creating a label, La commande passe automatiquement au statut suivant lors de la création de l'étiquette
TIG_MyParcelBE::Edit options,Modifier les options
"TIG_MyParcelBE::Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount.","Précisez ici vos préférences par défaut pour les options d'envoi. Le cas échéant, ces paramètres seront appliqués de manière standard à tous vos envois. Par la suite, ces options peuvent évidemment encore être adaptées lors du traitement par envoi.<br/><br/> Les valeurs peuvent donc encore être modifiées lorsque vous traitez votre envoi."
TIG_MyParcelBE::Retourlink e-mail Template,Modèle d'e-mail avec lien retour
TIG_MyParcelBE::PLACEHOLDER,PLACEHOLDER
TIG_MyParcelBE::Track&amp;Trace email template,Track&amp;Modèle d'e-mail de suivi
"TIG_MyParcelBE::You can create a new transactional email and use {{var tracktrace_url}} and {{var retourlabel_url}} in it. TIP: You can base them on the Order Update template, because {{var order}} is also available.","Vous pouvez créer une nouvel e-mail transactionnel et y placer {{var tracktrace_url}} et {{var retourlabel_url}}."
TIG_MyParcelBE::Print Orientation,Orientation de l'impression
TIG_MyParcelBE::Select a standard orientation for printing labels.,Selectionnez une orientation standard pour l'impression des étiquettes.
TIG_MyParcelBE::Enable test modus,Activer le mode test
TIG_MyParcelBE::Enable to test the extension,Activez cette option pour effectuer des envois test
TIG_MyParcelBE::Selecting 'No' will overrule all individual settings.,Lorsque vous sélectionnez 'non', les paramètres individuels seront annulés.
TIG_MyParcelBE::General settings,Paramètres généraux
TIG_MyParcelBE::Basic settings,Paramètres de base
TIG_MyParcelBE::Checkout settings,Paramètres du checkout
TIG_MyParcelBE::Cut-off time,Heure limite de commande
TIG_MyParcelBE::Show delivery date,Afficher la date de livraison
"TIG_MyParcelBE::If a request is made for the delivery options between Friday after, and Monday before, cut-off time then Tuesday will be shown as the next possible delivery date.,Lorsqu'une commande est passée après la dernière heure de commande le vendredi et avant celle-ci le lundi, c'est donc le mardi qui sera affiché comme premier jour de livraison."
TIG_MyParcelBE::day,jour
TIG_MyParcelBE::days,jours
TIG_MyParcelBE::Hide days,Masquer les jours
TIG_MyParcelBE::Drop-off days,Jours de dépôt
TIG_MyParcelBE::Saturday delivery,Livraison le samedi
TIG_MyParcelBE::Saturday delivery title,Livraison le samedi - titre
TIG_MyParcelBE::Saturday delivery fee,Livraison le samedi - prix
TIG_MyParcelBE::Monday delivery cut-off time,Dernière heure commande pour une livraison le lundi
"TIG_MyParcelBE::If a request is made before this time on Saturday, Monday will be shown as the next possible delivery date. ","Si la commande est passée le samedi avant cette heure, le lundi sera indiqué comme premier jour de livraison."
TIG_MyParcelBE::Dropoff-delay,Délai d'envoi
"TIG_MyParcelBE::This options allows you to set the number of days it takes you to pick, pack and hand in your parcels at bpost when ordered before the cutoff time.","Cette option vous permet de définir le nombre de jours dont vous avez besoin pour (recevoir,) emballer et présenter le produit à bpost, à partir du moment de la commande."
TIG_MyParcelBE::No delay,Pas de délai
TIG_MyParcelBE::Base color,Couleur de base
TIG_MyParcelBE::Color for selected items,Couleur pour les éléments sélectionnés
TIG_MyParcelBE::Add style to the checkout,Ajouter un fichier css au checkout
TIG_MyParcelBE::Font size,Taille de la police de caractères
TIG_MyParcelBE::Leave blank to automatically determine the font size,Laissez vide pour définir automatiquement la police
TIG_MyParcelBE::Delivery,Livraison
TIG_MyParcelBE::Delivery title,Livraison - titre
TIG_MyParcelBE::To determine the base price you have to navigate in the menu to <a id=""shipping_method_link"">Shipping Methods</a>.,Pour définir le prix de base, allez dans <a id=""shipping_method_link"">Modes d'expédition</a>
TIG_MyParcelBE::Deliver the package only at address of the intended recipient,Livraison du colis uniquement à l'adresse personnelle du destinataire.
TIG_MyParcelBE::Signature on receipt title,Signature pour réception - titre
TIG_MyParcelBE::Signature on receipt fee,Signature pour réception - prix
TIG_MyParcelBE::Saturday delivery,Livraison le samedi
TIG_MyParcelBE::Saturday delivery title,Livraison le samedi - titre
TIG_MyParcelBE::Saturday delivery fee,Livraison le samedi - prix
TIG_MyParcelBE::If both have been selected this price will be added to the regular shipping price. Leave empty for not using it.,Si les deux options sont sélectionnées, ce prix s'ajoutera aux frais d'expédition habituels. Laissez vide pour ne pas utiliser cette option.
TIG_MyParcelBE::Morning delivery,Livraison le matin
TIG_MyParcelBE::Morning delivery active,Livraison le matin active
TIG_MyParcelBE::Morning delivery fee,Livraison le matin - prix
TIG_MyParcelBE::Evening delivery,Livraison en soirée 
TIG_MyParcelBE::Evening delivery active,Livraison en soirée active
TIG_MyParcelBE::Evening delivery fee,Livraison en soirée - prix
TIG_MyParcelBE::Pickup at bpost location,Collecte dans un point bpost
TIG_MyParcelBE::Pickup active,Collecte active
TIG_MyParcelBE::Pickup title,Collecte - titre
TIG_MyParcelBE::Pickup fee,Collecte - prix
TIG_MyParcelBE::Pickup Express at bpost location,Collecte anticipée dans un point bpost
TIG_MyParcelBE::Pickup Express active,Collecte anticipée active
TIG_MyParcelBE::Pickup Express fee,Collecte anticipée - prix
